,timestamp,visitorid,event,itemid,transactionid
10571,1433190923973,598273,view,320785,
2729680,1438281230547,218648,view,248455,
1254137,1441604860208,420243,view,272554,
2106416,1435948614095,821975,view,455079,
1757699,1431887838095,858700,view,326119,
21541,1433179174413,760327,addtocart,211525,
2131260,1436046847999,757572,view,190070,
27362,1433259752658,298172,view,7943,
647350,1438662289011,462824,view,390206,
830974,1439467568150,998103,view,339611,
827488,1439487209877,1251929,view,26086,
401671,1434838501569,314345,view,367621,
525365,1435416724303,331485,view,243033,
1773946,1431935239704,792952,view,233099,
2402510,1436973014670,974226,view,442575,
2090460,1435852519730,945464,view,440747,
1337323,1441916385770,1273468,view,283838,
2469417,1437381064733,781632,view,365660,
1413047,1442293084526,122138,view,330819,
2444177,1437242084139,244999,view,78931,
418244,1434951122100,1034199,view,131298,
2443134,1437270378293,1165691,view,128499,
2109777,1435972164474,806226,view,38247,
582834,1435613143906,785960,view,340093,
1477335,1430678858820,711778,view,203248,
2405455,1437020034799,1237318,view,106447,
2729197,1438237318880,753914,view,103156,
1443516,1442438897540,152963,view,302350,
195529,1433983871536,343137,view,351626,
2596095,1437805753597,183532,view,345708,
361208,1434642789016,310738,view,305188,
1210059,1441289981409,480790,view,381088,
2140309,1436158272946,64912,view,104315,
2352185,1436928503942,338804,view,434513,
1599738,1431198625216,1141136,view,235274,
730624,1438986423580,153600,addtocart,147684,
1251247,1441584200415,569108,view,307536,
2638968,1437941987295,499061,view,177728,
241623,1434034933280,239270,view,57578,
1802832,1432050508382,431700,view,244577,
1549423,1430930277805,548859,view,134382,
386355,1434762613520,941220,view,15988,
1313635,1441824530669,486968,view,277834,
347416,1434594856985,1267130,view,382751,
778891,1439271210739,269571,view,156469,
1452751,1442438651465,735655,view,104050,
1455524,1442522279404,887841,view,77573,
2035037,1433029552420,489584,view,277452,
1595246,1431209306157,1379738,view,59508,
1675679,1431570013803,608094,view,231733,
417233,1434920405095,1261890,view,294965,
2199644,1436280547222,234803,view,241376,
112607,1433543457701,1374049,view,241555,
573112,1435617707483,1199227,view,228601,
1314612,1441808225290,620266,view,322930,
2229744,1436468077274,416496,view,316753,
2228454,1436475683948,1381539,view,137697,
954275,1440112160489,813224,addtocart,268149,
1081541,1440690761456,472293,addtocart,191852,
1652786,1431474652700,741363,view,156461,
1951387,1432653865775,256465,addtocart,394290,
1673506,1431535987918,795971,view,404529,
2293473,1436529700075,243663,addtocart,311405,
2637338,1437962234157,1266001,view,70566,
161233,1433817017210,400516,view,123079,
1609563,1431273371544,34649,view,212743,
1212447,1441340936782,1113893,view,170320,
1814052,1432055247661,679241,view,199023,
1784406,1432004042625,1179068,view,391472,
2046416,1433095013572,561692,view,213901,
237636,1434041963240,109735,view,26477,
93992,1433551678935,723128,view,78476,
234185,1434085408343,823011,view,340488,
927295,1439941163290,42011,transaction,55430,7615.0
1624867,1431379179646,453623,view,441707,
1633708,1431459723322,854177,view,409804,
498709,1435277542628,1216694,view,122553,
1880555,1432313178673,24945,view,205603,
1554924,1431046464797,943787,view,98308,
2591764,1437877480746,1266177,view,3882,
1280850,1441668303203,277595,view,124641,
2431166,1437153870197,1296582,view,208627,
1015992,1440339006838,131880,view,58663,
1137459,1440968156705,338372,addtocart,35158,
2204911,1436385983825,614049,view,249731,
2300055,1436681513898,677747,view,174600,
10782,1433195816845,381316,view,364920,
1278677,1441660607847,105219,view,380971,
955074,1440096802908,608337,view,47611,
569220,1435616442883,186313,view,405770,
953571,1440105112575,155926,view,466008,
1204238,1441297448805,270141,view,80087,
